ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
E16-NGRCA-002,bird,rbc,grca,13,nonnative,enriched,2016,6.16,15.23,-22.73,50.28,193,125,68
E16-NGRCA-003,bird,rbc,grca,13,nonnative,enriched,2016,6.56,15.18,-22.57,49.76,146,125,21
E16-NGRCA-004,bird,rbc,grca,23,nonnative,enriched,2016,5.58,15.37,-24.31,50.22,154,127,27
N16-NGRCA-006,bird,rbc,grca,21,native,enriched,2016,7.31,14.31,-24.20,48.63,191,129,62
N16-NGRCA-007,bird,rbc,grca,24,native,enriched,2016,5.92,15.11,-23.33,48.95,172,155,17
N16-NGRCA-002,bird,rbc,grca,18,nonnative,control,2016,5.93,15.71,-25.41,50.08,124,129,0
N16-NGRCA-003,bird,rbc,grca,18,nonnative,control,2016,8.01,15.86,-24.37,50.70,120,129,0
N16-NGRCA-004,bird,rbc,grca,20,native,control,2016,6.44,15.75,-23.92,50.34,117,125,0
N16-NGRCA-005,bird,rbc,grca,14,native,control,2016,5.44,14.99,-24.45,49.00,124,139,0
15-NAMRO-020,bird,rbc,amro,2,native,control,2015,5.89,15.09,-22.77,48.01,116,124,0
15-NAMRO-021,bird,rbc,amro,12,nonnative,control,2015,7.35,14.84,-23.87,47.70,121,121,0
15-NAMRO-022,bird,rbc,amro,6,nonnative,control,2015,6.43,14.94,-22.26,47.69,123,125,0
15-NAMRO-023,bird,rbc,amro,5,nonnative,control,2015,6.32,14.58,-24.33,46.51,138,139,0
15-NAMRO-024,bird,rbc,amro,3,native,enriched,2015,8.63,14.81,-22.79,47.36,167,128,0
15-NAMRO-025,bird,rbc,amro,1,native,control,2015,6.06,14.89,-24.41,48.21,125,130,0
15-NAMRO-026,bird,rbc,amro,25,nonnative,control,2015,6.06,15.35,-23.15,49.30,119,125,0
15-NAMRO-027,bird,rbc,amro,25,nonnative,control,2015,6.52,15.38,-23.74,49.07,119,125,0
15-NAMRO-024B,bird,rbc,amro,3,native,enriched,2015,8.34,15.11,-22.91,48.49,167,128,0
15-NAMRO-063,bird,rbc,amro,6,nonnative,control,2015,6.31,15.23,-23.95,49.19,123,125,0
15-NAMRO-064B,bird,rbc,amro,5,nonnative,control,2015,5.72,15.34,-22.15,48.79,138,139,0
15-NAMRO-065B,bird,rbc,amro,2,native,control,2015,5.37,15.13,-23.09,48.46,116,124,0
N15-NAMRO-042,bird,rbc,amro,3,native,enriched,2015,6.73,14.50,-22.52,47.31,140,128,12
N15-NAMRO-044,bird,rbc,amro,3,native,enriched,2015,7.34,15.83,-22.73,50.44,167,128,39
N15-NAMRO-045,bird,rbc,amro,3,native,enriched,2015,6.85,15.51,-23.83,49.57,167,128,39
N15-NAMRO-046,bird,rbc,amro,2,native,enriched,2015,7.62,14.87,-23.76,47.55,147,124,23
E15-NAMRO-077,bird,rbc,amro,25,nonnative,enriched,2015,6.44,15.62,-23.72,49.66,143,125,18
E15-NAMRO-079,bird,rbc,amro,12,nonnative,enriched,2015,7.49,15.53,-23.75,49.86,153,121,32
E15-NAMRO-081,bird,rbc,amro,25,nonnative,enriched,2015,6.06,15.47,-24.16,49.72,143,125,18
E15-NAMRO-082,bird,rbc,amro,6,nonnative,enriched,2015,8.07,14.55,-24.12,46.90,141,125,16
E15-NAMRO-083,bird,rbc,amro,11,nonnative,enriched,2015,6.80,15.49,-23.66,49.52,152,134,18
E15-NAMRO-086,bird,rbc,amro,25,nonnative,enriched,2015,5.80,15.41,-24.36,49.81,161,125,36
E16-NAMRO-001,bird,rbc,amro,9,nonnative,enriched,2016,5.53,15.18,-24.36,49.32,159,130,29
E16-NAMRO-002,bird,rbc,amro,13,nonnative,enriched,2016,5.90,14.84,-23.83,48.23,195,125,70
E16-NAMRO-003,bird,rbc,amro,9,nonnative,enriched,2016,8.84,14.91,-23.78,49.27,148,130,18
E16-NAMRO-004,bird,rbc,amro,13,nonnative,enriched,2016,7.15,15.43,-23.61,50.20,146,125,21
N16-NBIRD-026,bird,rbc,amro,13,nonnative,enriched,2016,7.31,10.08,-23.71,41.47,195,125,70
N16-NAMRO-001,bird,rbc,amro,20,native,enriched,2016,6.36,15.66,-22.30,50.04,147,125,22
N16-NAMRO-002,bird,rbc,amro,23,nonnative,enriched,2016,7.33,15.18,-23.35,48.53,137,127,10
15-NHOWR-037,bird,rbc,howr,2,native,control,2015,6.43,15.49,-24.28,49.53,116,124,0
15-NHOWR-038,bird,rbc,howr,12,nonnative,control,2015,7.15,15.14,-24.69,48.06,121,121,0
15-NHOWR-039,bird,rbc,howr,2,native,control,2015,6.24,15.78,-24.10,50.15,116,124,0
15-NHOWR-040,bird,rbc,howr,5,nonnative,control,2015,6.54,15.47,-24.43,49.36,138,139,0
15-NHOWR-041,bird,rbc,howr,19,native,control,2015,7.36,15.38,-24.83,48.96,117,120,0
15-NHOWR-042,bird,rbc,howr,4,nonnative,control,2015,7.89,15.48,-23.95,49.19,122,122,0
15-NHOWR-043,bird,rbc,howr,7,nonnative,control,2015,7.02,15.45,-24.03,49.21,124,125,0
15-NHOWR-044,bird,rbc,howr,12,nonnative,control,2015,4.13,15.38,-25.05,49.16,121,121,0
